win,loss,tie
8,8,0
4,12,0
7,9,0
4,12,0
9,7,0
6,10,0
3,13,0
7,9,0
5,11,0
4,12,0
6,10,0
5,11,0
5,11,0
8,8,0
9,7,0
10,6,0
5,11,0
8,8,0
5,11,0
10,6,0
11,5,0
13,3,0
7,8,1
8,8,0
3,13,0
3,11,0
1,12,1
2,12,0
6,8,0
4,8,2
7,6,1
7,7,0
9,5,0
3,11,0
4,10,0
4,10,0
7,7,0
9,7,0
6,10,0
12,4,0
7,9,0
5,4,0
7,9,0
4,12,0
4,12,0
7,8,1
3,12,0
5,11,0
3,13,0
5,11,0
10,6,0
6,10,0
6,10,0
7,9,0
9,7,0
3,13,0
7,9,0
14,2,0
5,11,0
4,12,0
7,9,0
9,6,1
5,11,0
11,5,0
8,8,0
7,9,0
4,12,0
11,5,0
9,7,0
13,3,0
10,6,0
13,3,0
4,12,0
6,10,0
8,8,0
11,5,0
10,6,0
7,9,0
9,5,0
11,1,2
13,1,0
8,5,1
11,2,1
10,4,0
5,9,0
4,10,0
2,12,0
10,4,0
11,3,0
10,4,0
5,11,0
5,11,0
7,9,0
2,14,0
0,8,1
7,9,0
4,12,0
6,9,1
6,10,0
8,8,0
12,4,0
10,6,0
7,9,0
10,6,0
9,7,0
6,10,0
13,3,0
5,11,0
11,5,0
9,7,0
12,4,0
12,4,0
10,6,0
8,8,0
10,6,0
5,11,0
8,8,0
9,7,0
10,6,0
8,4,2
3,10,1
4,10,0
4,10,0
1,6,0
9,4,1
4,10,0
1,12,1
4,10,0
3,10,1
1,13,0
4,9,1
9,5,0
9,5,0
8,6,0
2,12,0
3,11,0
5,11,0
7,9,0
11,5,0
10,6,0
4,5,0
8,8,0
2,14,0
2,14,0
4,12,0
7,8,0
12,4,0
9,7,0
13,3,0
13,3,0
11,5,0
12,4,0
7,9,0
10,6,0
10,6,0
6,10,0
10,6,0
11,5,0
8,8,0
3,13,0
8,8,0
6,10,0
9,7,0
5,11,0
7,9,0
7,9,0
7,9,0
6,10,0
4,12,0
6,10,0
6,10,0
6,10,0
9,7,0
8,8,0
7,9,0
9,7,0
6,10,0
7,9,0
12,4,0
7,9,0
4,12,0
8,8,0
7,9,0
1,15,0
7,9,0
11,5,0
7,9,0
11,5,0
8,8,0
7,9,0
12,4,0
8,8,0
2,14,0
6,10,0
7,9,0
12,4,0
7,8,1
15,1,0
6,10,0
11,5,0
7,9,0
5,7,2
7,6,1
7,7,0
1,13,0
6,8,0
6,8,0
4,9,1
3,11,0
4,10,0
4,10,0
7,7,0
9,5,0
7,9,0
10,6,0
7,9,0
6,10,0
3,6,0
8,8,0
10,6,0
15,1,0
14,2,0
11,4,0
12,4,0
6,10,0
11,5,0
11,5,0
5,11,0
7,9,0
9,7,0
9,7,0
7,9,0
4,12,0
4,12,0
6,10,0
5,11,0
13,3,0
4,12,0
7,9,0
5,11,0
11,5,0
13,3,0
7,9,0
9,7,0
7,9,0
11,5,0
8,8,0
10,6,0
8,8,0
5,11,0
6,10,0
3,13,0
5,11,0
12,4,0
3,11,0
4,9,1
8,6,0
4,10,0
8,6,0
10,4,0
7,7,0
11,3,0
10,4,0
8,6,0
4,12,0
4,12,0
6,10,0
12,4,0
7,2,0
7,9,0
8,8,0
7,9,0
10,6,0
4,11,0
12,4,0
8,8,0
9,7,0
3,13,0
5,11,0
3,13,0
3,13,0
7,9,0
8,8,0
7,9,0
3,13,0
4,12,0
4,12,0
6,10,0
2,14,0
8,8,0
8,8,0
11,5,0
8,8,0
7,9,0
4,11,1
10,6,0
4,12,0
9,7,0
10,6,0
11,5,0
10,5,1
12,4,0
6,9,1
7,9,0
6,10,0
9,5,0
9,5,0
10,4,0
10,3,1
7,7,0
9,5,0
10,4,0
7,5,2
4,10,0
3,11,0
9,5,0
6,8,0
8,8,0
9,7,0
11,5,0
5,11,0
4,5,0
9,7,0
5,11,0
8,8,0
12,4,0
10,5,0
10,6,0
9,6,1
3,13,0
6,10,0
7,9,0
7,9,0
11,5,0
5,11,0
2,14,0
3,13,0
7,9,0
9,7,0
5,11,0
4,12,0
6,10,0
4,12,0
10,6,0
4,12,0
5,11,0
5,11,0
4,12,0
5,11,0
4,12,0
7,9,0
3,13,0
1,15,0
0,16,0
7,8,1
10,3,1
9,5,0
12,2,0
11,2,1
10,4,0
11,3,0
10,4,0
10,4,0
8,6,0
10,4,0
11,3,0
12,2,0
12,4,0
11,5,0
12,4,0
12,4,0
6,3,0
12,4,0
9,7,0
10,6,0
7,9,0
7,8,0
3,13,0
1,15,0
7,9,0
11,5,0
13,3,0
12,4,0
12,4,0
12,4,0
10,6,0
6,10,0
10,6,0
8,8,0
5,11,0
5,11,0
5,11,0
10,6,0
6,10,0
9,7,0
9,7,0
13,3,0
9,7,0
11,5,0
6,10,0
8,8,0
8,8,0
8,8,0
12,4,0
4,12,0
13,3,0
9,7,0
10,6,0
4,10,0
3,11,0
5,9,0
5,8,1
5,8,1
4,9,1
5,9,0
7,5,2
7,6,1
6,8,0
9,5,0
12,2,0
10,6,0
10,6,0
8,8,0
10,6,0
2,7,0
9,7,0
13,3,0
11,5,0
11,5,0
10,4,1
8,8,0
11,5,0
5,11,0
12,4,0
8,8,0
9,7,0
7,9,0
8,8,0
13,3,0
12,4,0
14,2,0
6,10,0
11,5,0
8,8,0
9,7,0
10,6,0
10,6,0
13,3,0
9,7,0
7,9,0
8,8,0
8,8,0
4,12,0
8,8,0
13,3,0
13,3,0
12,4,0
12,4,0
9,7,0
5,11,0
6,10,0
4,9,1
5,7,2
4,8,2
9,4,1
10,4,0
7,6,1
8,5,1
6,7,1
7,7,0
7,7,0
6,8,0
6,8,0
7,9,0
2,14,0
9,7,0
8,8,0
4,5,0
9,7,0
4,11,1
7,9,0
5,11,0
4,11,0
4,12,0
7,9,0
6,10,0
12,4,0
5,11,0
10,6,0
9,7,0
10,6,0
5,11,0
9,7,0
5,11,0
8,8,0
9,7,0
2,14,0
3,13,0
5,11,0
6,10,0
5,11,0
3,13,0
7,9,0
0,16,0
2,14,0
6,10,0
10,6,0
4,12,0
7,9,0
11,5,0
7,9,0
9,7,0
9,7,0
6,10,0
12,2,0
9,4,1
6,7,1
8,6,0
6,8,0
4,8,2
10,4,0
5,7,2
6,8,0
4,10,0
5,9,0
4,10,0
8,7,1
5,11,0
5,10,1
8,8,0
5,3,1
8,8,0
8,8,0
8,8,0
4,12,0
5,9,1
4,12,0
10,6,0
6,10,0
4,12,0
9,7,0
9,7,0
9,7,0
11,5,0
13,3,0
13,3,0
11,5,0
8,8,0
9,7,0
12,4,0
12,4,0
10,6,0
10,6,0
4,12,0
8,8,0
13,3,0
6,10,0
11,5,0
10,6,0
15,1,0
11,5,0
8,7,1
12,4,0
10,6,0
10,6,0
7,9,0
6,9,1
3,11,0
9,4,1
7,7,0
6,6,2
3,10,1
4,9,1
1,13,0
1,13,0
7,7,0
10,4,0
5,9,0
8,6,0
10,6,0
11,5,0
11,5,0
7,9,0
1,8,0
2,14,0
3,13,0
5,11,0
5,11,0
9,6,0
10,6,0
9,7,0
9,7,0
11,5,0
10,6,0
12,4,0
2,14,0
7,9,0
8,8,0
4,12,0
5,11,0
7,9,0
2,14,0
6,10,0
8,8,0
8,8,0
9,7,0
6,10,0
10,6,0
12,4,0
2,14,0
9,7,0
9,7,0
9,7,0
4,12,0
11,5,0
4,12,0
5,11,0
3,13,0
9,6,0
9,7,0
8,8,0
7,9,0
1,15,0
9,7,0
4,12,0
8,8,0
9,7,0
9,7,0
3,13,0
3,13,0
13,3,0
10,6,0
6,10,0
10,6,0
12,4,0
12,4,0
14,2,0
12,4,0
13,3,0
12,4,0
14,2,0
10,6,0
2,14,0
11,5,0
11,5,0
11,5,0
8,8,0
8,8,0
4,12,0
10,6,0
4,12,0
9,7,0
11,5,0
11,5,0
14,2,0
7,9,0
6,10,0
6,10,0
5,11,0
9,7,0
12,4,0
8,8,0
11,5,0
5,11,0
7,9,0
8,8,0
5,11,0
2,14,0
4,12,0
3,13,0
5,11,0
3,13,0
10,6,0
5,11,0
11,2,1
9,5,0
12,2,0
11,3,0
7,5,2
10,3,1
8,6,0
7,5,2
5,9,0
5,9,0
5,9,0
1,6,0
4,12,0
7,9,0
8,8,0
9,7,0
3,6,0
6,10,0
8,8,0
6,10,0
10,6,0
4,11,0
4,11,1
8,7,1
11,5,0
10,6,0
10,6,0
11,5,0
9,7,0
13,3,0
9,7,0
13,3,0
7,9,0
9,7,0
7,9,0
6,10,0
8,8,0
13,3,0
7,9,0
10,6,0
9,7,0
4,12,0
2,14,0
4,12,0
10,6,0
7,9,0
2,14,0
11,5,0
9,7,0
11,5,0
12,4,0
10,6,0
12,4,0
9,7,0
12,4,0
8,1,0
12,4,0
11,5,0
12,4,0
8,8,0
5,10,0
7,9,0
8,8,0
12,4,0
9,7,0
7,9,0
10,6,0
9,7,0
8,6,0
11,1,2
10,3,1
11,3,0
9,4,1
8,5,1
6,7,1
12,2,0
10,4,0
12,2,0
10,3,1
10,4,0
12,4,0
9,7,0
11,5,0
6,10,0
2,7,0
9,7,0
10,6,0
11,5,0
10,6,0
6,9,0
10,6,0
11,5,0
5,11,0
3,13,0
6,10,0
5,11,0
4,12,0
4,12,0
11,5,0
13,3,0
3,11,0
4,10,0
5,8,1
3,10,1
10,4,0
10,3,1
14,0,0
12,2,0
11,3,0
10,4,0
6,8,0
10,4,0
11,5,0
10,6,0
8,8,0
11,4,1
7,2,0
12,4,0
14,2,0
12,4,0
8,8,0
8,7,0
6,10,0
8,8,0
12,4,0
8,8,0
11,5,0
9,7,0
10,6,0
9,7,0
8,8,0
9,7,0
10,6,0
9,7,0
11,5,0
11,5,0
9,7,0
10,6,0
4,12,0
9,7,0
6,10,0
1,15,0
11,5,0
7,9,0
7,9,0
6,10,0
7,9,0
8,8,0
8,8,0
6,10,0
10,6,0
6,10,0
7,9,0
4,9,1
3,8,3
8,6,0
12,2,0
12,2,0
11,3,0
7,7,0
12,2,0
10,4,0
12,2,0
11,2,1
9,5,0
8,7,1
7,9,0
9,7,0
7,9,0
5,4,0
8,8,0
3,13,0
7,9,0
9,7,0
8,7,0
11,5,0
10,6,0
6,10,0
8,8,0
11,5,0
9,7,0
10,6,0
8,8,0
9,7,0
9,7,0
15,1,0
10,6,0
11,5,0
5,11,0
6,10,0
9,7,0
8,8,0
9,7,0
6,10,0
8,8,0
10,6,0
12,4,0
6,10,0
3,13,0
10,6,0
5,10,1
7,9,0
11,5,0
8,8,0
13,3,0
8,7,1
6,8,0
3,11,0
5,9,0
7,7,0
3,11,0
11,3,0
9,5,0
11,5,0
9,7,0
10,6,0
2,14,0
5,4,0
8,8,0
9,7,0
11,5,0
11,5,0
8,7,0
9,7,0
5,11,0
1,15,0
6,10,0
2,14,0
5,11,0
10,6,0
6,10,0
11,5,0
10,6,0
9,7,0
8,8,0
5,11,0
11,5,0
9,7,0
14,2,0
14,2,0
10,6,0
12,4,0
16,0,0
11,5,0
10,6,0
14,2,0
13,3,0
12,4,0
12,4,0
12,4,0
12,4,0
14,2,0
13,3,0
11,5,0
3,11,0
4,9,1
5,9,0
2,11,1
4,8,2
2,11,1
5,9,0
5,9,0
2,12,0
4,10,0
3,11,0
7,9,0
8,8,0
1,15,0
4,12,0
4,5,0
8,8,0
7,9,0
5,11,0
7,9,0
12,3,0
10,6,0
9,7,0
8,8,0
11,5,0
12,4,0
8,8,0
7,9,0
7,9,0
3,13,0
6,10,0
6,10,0
3,13,0
10,6,0
7,9,0
9,7,0
8,8,0
8,8,0
3,13,0
10,6,0
7,9,0
8,8,0
13,3,0
11,5,0
13,3,0
2,4,0
11,5,0
7,9,0
7,9,0
7,9,0
11,5,0
13,3,0
1,12,1
7,7,0
7,7,0
6,8,0
9,5,0
4,10,0
8,6,0
2,11,1
2,12,0
5,9,0
3,11,0
5,9,0
6,10,0
6,10,0
4,12,0
9,7,0
4,5,0
3,12,1
9,7,0
10,6,0
14,2,0
6,9,0
10,6,0
12,4,0
13,3,0
8,8,0
6,10,0
11,5,0
9,7,0
5,11,0
6,10,0
10,5,1
8,8,0
7,9,0
12,4,0
7,9,0
10,6,0
4,12,0
6,10,0
11,5,0
8,8,0
10,6,0
12,4,0
8,8,0
10,6,0
9,7,0
9,7,0
7,9,0
6,10,0
6,10,0
11,5,0
3,13,0
5,11,0
6,6,2
8,5,1
11,3,0
10,4,0
4,10,0
6,8,0
7,7,0
4,10,0
7,7,0
3,11,0
3,11,0
3,11,0
8,8,0
8,8,0
4,12,0
10,5,1
6,3,0
7,9,0
7,9,0
11,5,0
10,6,0
6,9,0
8,7,1
4,12,0
6,10,0
8,8,0
4,12,0
8,8,0
6,10,0
3,13,0
1,15,0
9,7,0
12,4,0
8,8,0
9,7,0
10,6,0
9,7,0
6,10,0
10,6,0
4,12,0
10,6,0
4,12,0
9,7,0
9,7,0
11,5,0
8,8,0
6,10,0
8,8,0
4,12,0
10,6,0
5,11,0
5,11,0
4,12,0
8,5,1
13,1,0
12,2,0
12,1,1
8,4,2
8,4,2
10,3,1
9,4,1
12,2,0
11,3,0
13,1,0
11,3,0
9,7,0
9,7,0
11,5,0
7,9,0
8,8,0
7,9,0
4,12,0
8,8,0
8,8,0
12,4,0
10,6,0
11,5,0
4,12,0
5,11,0
4,12,0
2,14,0
4,12,0
5,11,0
5,11,0
8,8,0
8,8,0
4,12,0
4,12,0
3,13,0
7,9,0
12,4,0
6,10,0
4,12,0
9,5,0
6,7,1
2,12,0
4,9,1
3,10,1
6,7,1
2,11,1
5,8,1
7,7,0
4,10,0
4,10,0
5,9,0
9,7,0
11,5,0
12,4,0
10,6,0
3,6,0
5,11,0
6,9,1
7,9,0
5,10,1
7,8,0
10,6,0
11,5,0
10,6,0
10,6,0
11,5,0
8,8,0
7,9,0
10,6,0
10,6,0
6,9,1
3,13,0
5,11,0
11,5,0
11,5,0
12,4,0
12,4,0
13,3,0
6,10,0
10,6,0
8,8,0
9,6,1
11,5,0
10,6,0
8,8,0
4,12,0
10,6,0
10,6,0
7,9,0
7,9,0
13,3,0
9,7,0
7,9,0
5,11,0
5,11,0
4,12,0
4,12,0
7,9,0
5,8,1
4,9,1
2,11,1
1,13,0
5,9,0
6,8,0
11,3,0
10,4,0
10,3,1
12,2,0
10,4,0
9,5,0
14,2,0
12,4,0
9,7,0
8,8,0
6,3,0
10,6,0
9,7,0
7,9,0
6,10,0
8,7,0
5,11,0
9,7,0
9,7,0
7,9,0
11,5,0
9,7,0
12,4,0
11,5,0
10,6,0
11,5,0
7,9,0
6,10,0
9,7,0
13,3,0
10,5,1
6,10,0
15,1,0
11,5,0
8,8,0
10,6,0
12,4,0
9,7,0
12,4,0
12,4,0
8,8,0
8,8,0
11,5,0
10,6,0
11,5,0
13,3,0
9,6,1
7,6,1
8,5,1
9,5,0
8,6,0
5,6,3
6,8,0
4,9,1
2,11,1
5,9,0
2,12,0
6,8,0
7,7,0
9,7,0
12,4,0
11,5,0
10,6,0
6,3,0
6,10,0
7,9,0
8,8,0
4,12,0
8,7,0
6,10,0
6,10,0
6,10,0
4,12,0
11,5,0
8,8,0
11,5,0
9,7,0
8,8,0
4,12,0
5,11,0
8,8,0
1,15,0
5,11,0
8,8,0
4,12,0
12,4,0
9,7,0
14,2,0
11,5,0
8,8,0
13,3,0
9,7,0
8,8,0
7,9,0
9,7,0
9,7,0
4,12,0
5,11,0
6,6,2
7,7,0
7,6,1
4,8,2
10,3,1
9,5,0
8,5,1
5,9,0
6,8,0
5,9,0
8,6,0
5,9,0
2,14,0
2,14,0
6,10,0
13,3,0
3,6,0
10,6,0
15,1,0
10,6,0
10,5,1
13,2,0
10,6,0
14,2,0
14,2,0
10,6,0
14,2,0
10,6,0
13,3,0
11,5,0
12,4,0
13,3,0
12,4,0
4,12,0
6,10,0
12,4,0
10,6,0
7,9,0
2,14,0
4,12,0
7,9,0
5,11,0
7,9,0
8,8,0
6,10,0
13,3,0
11,4,1
12,4,0
8,8,0
5,11,0
2,14,0
6,10,0
4,12,0
2,12,0
5,9,0
9,7,0
9,7,0
4,12,0
6,10,0
4,5,0
9,7,0
12,4,0
8,8,0
10,6,0
9,6,0
9,7,0
7,9,0
9,7,0
7,9,0
2,14,0
6,10,0
6,10,0
8,8,0
7,9,0
8,8,0
8,8,0
9,7,0
6,10,0
9,7,0
7,9,0
10,6,0
9,7,0
13,3,0
9,7,0
10,6,0
4,12,0
5,11,0
7,9,0
7,9,0
11,5,0
13,3,0
12,4,0
10,6,0
10,5,1
9,7,0
10,6,0
8,5,1
6,7,1
9,4,1
4,9,1
8,5,1
4,9,1
4,9,1
4,9,1
10,4,0
11,3,0
10,4,0
7,7,0
6,10,0
5,11,0
5,11,0
7,9,0
5,4,0
8,7,1
9,7,0
5,11,0
4,11,1
7,8,0
7,9,0
6,10,0
5,11,0
4,12,0
13,3,0
10,6,0
14,2,0
7,9,0
12,4,0
8,8,0
6,10,0
8,8,0
3,13,0
2,14,0
1,15,0
7,9,0
2,14,0
7,8,1
7,9,0
6,10,0
7,9,0
0,14,0
2,12,0
5,11,0
10,6,0
5,10,1
9,7,0
5,4,0
2,14,0
6,10,0
2,14,0
2,14,0
4,11,0
5,11,0
5,11,0
6,10,0
3,13,0
5,11,0
5,11,0
6,10,0
7,9,0
6,10,0
10,6,0
8,8,0
11,5,0
10,6,0
9,7,0
12,4,0
7,9,0
5,11,0
11,5,0
4,12,0
9,7,0
9,7,0
3,13,0
10,6,0
4,12,0
7,9,0
4,12,0
2,14,0
6,10,0
9,7,0
5,11,0
5,11,0
8,8,0
8,8,0
13,3,0
13,3,0
7,9,0
11,5,0
12,4,0
5,11,0
4,12,0
8,8,0
10,6,0
13,3,0
8,8,0
6,10,0
9,7,0
6,10,0
7,9,0
2,14,0
3,13,0
9,7,0
9,7,0
9,7,0
7,7,0
5,6,3
5,9,0
7,5,2
6,8,0
9,4,1
11,3,0
10,4,0
10,4,0
8,6,0
10,4,0
9,5,0
8,8,0
10,6,0
6,10,0
8,8,0
8,1,0
14,2,0
11,5,0
10,6,0
12,4,0
11,4,0
7,9,0
10,6,0
10,6,0
14,2,0
9,7,0
4,12,0
3,13,0
6,10,0
9,7,0
8,7,1
6,10,0
10,6,0
8,8,0
8,8,0
7,9,0
5,11,0
6,10,0
10,6,0
5,11,0
9,7,0
8,8,0
4,12,0
6,10,0
5,11,0
10,6,0
3,13,0
4,12,0
9,7,0
8,7,1
7,9,0
7,9,0
